months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_age_days,incident_month,incident_dayofweek,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,no_witness_high_severity,no_police_but_injury,collision_type_missing,property_damage_missing,police_report_available_missing
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,,Minor Damage,,SC,Springfield,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,0,804,1,3,7.772712228141916,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,1,1,0,0
180,38,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,1,5862,1,3,35.50759724239699,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,0
473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,1,8137,1,3,55.78928760827293,0.16666666666666666,0.16666666666666666,0.6666666666666666,1,0,0,0,0
70,26,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,0,3546,2,6,43.44527446141532,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,1,0
140,31,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,0,3704,1,1,109.90065477534432,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,0
160,37,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,0,22,1,0,53.070105223326685,0.09090909090909091,0.18181818181818182,0.7272727272727273,1,1,0,0,0
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,0,8239,2,6,40.928896207300795,0.1,0.1,0.8,1,1,0,1,0
460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,,47160,0,5240,41920,Suburu,Impreza,2011,0,4573,1,3,39.698306340280816,0.0,0.1111111111111111,0.8888888888888888,0,0,0,0,1
217,41,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,,1,2,,37840,0,4730,33110,Accura,RSX,1996,0,3362,2,1,43.23830200537051,0.0,0.125,0.875,0,0,0,1,1
370,55,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,1,7534,1,6,73.56662346479048,0.25,0.08333333333333333,0.6666666666666666,1,0,0,0,0
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,,2,2,,98160,8180,16360,73620,Dodge,RAM,2011,1,8746,1,0,77.36504858960112,0.08333333333333333,0.16666666666666666,0.75,0,0,0,1,1
237,40,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,0,6962,2,1,88.16836671157351,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,1,0,0,0
8,35,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,1,400,1,4,56.436081204811664,0.23076923076923078,0.15384615384615385,0.6153846153846154,0,0,0,0,0
257,43,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,,Minor Damage,Police,PA,Arlington,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,0,8896,1,2,6.822479388851071,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,1,0,0
202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,,Minor Damage,,VA,Northbrook,5,1,YES,2,1,,5720,1040,520,4160,Suburu,Forrestor,2003,1,4556,1,2,6.744726260803943,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,1,0,1
224,40,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,0,9100,1,3,54.068282108848805,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0,0,0,0
241,45,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,0,348,2,6,82.97872340425532,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,1,0,0,0
64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,,75600,12600,12600,50400,Toyota,Corolla,2005,0,5448,1,6,79.23199463402365,0.16666666666666666,0.16666666666666666,0.6666666666666666,1,0,0,0,1
166,37,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,NO,2,2,,67140,7460,7460,52220,Ford,F150,2006,1,2445,2,5,50.206389088298636,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,1
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,0,4225,2,1,27.37196096807983,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1,0,0,0
114,30,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,NO,1,2,,77110,14020,14020,49070,Suburu,Impreza,2015,0,8315,1,4,49.48372895930796,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,0,0,1
149,37,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,0,8796,2,3,45.773056057866185,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
147,33,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,1,1630,1,5,39.80062211895214,0.2,0.1,0.7,1,0,0,0,0
62,28,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,1,4324,1,4,60.90343467044362,0.1,0.1,0.8,0,0,0,1,0
289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,,Minor Damage,,WV,Arlington,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,0,8019,1,6,4.359989529481055,0.23076923076923078,0.15384615384615385,0.6153846153846154,0,0,1,0,0
431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,,2,0,,62300,12460,6230,43610,Jeep,Wrangler,2007,0,4440,1,2,53.91372073904202,0.2,0.1,0.7,1,0,0,1,1
199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,1,6374,1,3,47.67526622718053,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,0,1,0
79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,,40000,8000,4000,28000,BMW,M5,2010,0,7180,1,5,27.555420840164782,0.2,0.1,0.7,0,0,0,0,1
116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,,1,1,,97080,16180,16180,64720,BMW,X5,2001,1,854,1,3,55.86823659404026,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,0,1,1
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,0,3183,1,4,35.00165997032379,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1,0,0,0
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,0,4321,2,1,94.98857238419087,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1,0,0,0
269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,,56400,11280,11280,33840,Toyota,Highlander,2014,0,2628,2,5,52.17005217005217,0.2,0.2,0.6,0,0,0,0,1
265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,,55120,6890,0,48230,Accura,MDX,2002,0,3106,2,5,37.89800815439725,0.125,0.0,0.875,0,0,0,0,1
163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,,77110,0,14020,63090,Honda,Civic,2014,0,9172,2,2,62.16192249711803,0.0,0.18181818181818182,0.8181818181818182,0,0,0,0,1
355,47,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,1,9064,1,5,49.305173902802856,0.1,0.1,0.8,0,1,0,0,0
175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,5,1,,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,0,2607,2,3,6.486515344301388,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,1,1,0
192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,,76600,15320,7660,53620,Mercedes,C300,2000,0,6506,1,3,61.48215332011654,0.2,0.1,0.7,1,0,0,0,1
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,0,4011,1,5,61.66046041820567,0.2,0.1,0.7,0,0,0,1,0
91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,,Trivial Damage,,NY,Arlington,4,1,,1,2,,7260,1320,660,5280,BMW,M5,2008,0,7455,1,5,6.760846688954491,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,1,1,1
217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,,Minor Damage,,WV,Northbend,8,1,,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,0,4648,2,6,2.8095026526932023,0.1,0.1,0.8,0,0,1,1,0
223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,,70510,12820,12820,44870,Suburu,Forrestor,1999,0,7579,1,1,58.6893733196827,0.18181818181818182,0.18181818181818182,0.6363636363636364,1,0,0,0,1
195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,0,194,2,4,1.8944150634700805,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,1,0,0
22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,0,2705,1,1,61.80624642596959,0.2,0.1,0.7,0,1,0,0,0
439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,,2,3,,56430,0,6270,50160,Honda,CRV,2014,0,2291,2,5,52.12981182274201,0.0,0.1111111111111111,0.8888888888888888,0,0,0,1,1
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,,Minor Damage,,VA,Riverwood,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,0,7067,2,6,1.6964247847661054,0.125,0.125,0.75,0,1,1,0,0
11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,0,7903,1,2,44.75327537651525,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,0
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,0,3601,1,1,72.26950598991534,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,1,0,0,0
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,,69480,15440,0,54040,Nissan,Maxima,2014,1,9096,1,5,87.37094928511249,0.2222222222222222,0.0,0.7777777777777778,0,0,0,0,1
245,44,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,0,7804,2,2,37.90446841294299,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,0,216,1,0,56.66777385230144,0.1,0.2,0.7,0,0,0,0,0
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,1,2292,2,4,37.06167751148036,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,1,2828,1,1,36.01688462780116,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,0,0,0,0
254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,1,7741,2,6,60.401945893592206,0.16666666666666666,0.08333333333333333,0.75,0,1,0,0,0
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,1,1262,1,4,72.38424170042445,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,0,0,0
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,0,8932,2,0,40.633757275274846,0.0,0.1111111111111111,0.8888888888888888,0,1,0,0,0
128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,0,7638,1,5,64.56992641308547,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,0,0
338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,,Minor Damage,,NC,Riverwood,13,1,NO,0,1,,4300,860,860,2580,Ford,F150,2004,0,7675,2,4,3.361791287487882,0.2,0.2,0.6,0,0,1,0,1
271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,,2,3,,68310,12420,6210,49680,Audi,A3,2003,1,1285,2,4,61.79160372323585,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,0,0,1,1
222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,1,5933,2,6,58.065616325447884,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,0
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,0,7009,2,2,33.60012502372102,0.1,0.0,0.9,0,1,0,0,0
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002,0,4440,2,0,34.98006650621888,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,0,3972,3,6,30.533645331759118,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0,0,0
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,0,5095,1,3,35.92322909213351,0.2222222222222222,0.1111111111111111,0.6666666666666666,1,1,0,0,0
270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998,0,1828,1,2,86.11970060399388,0.16666666666666666,0.08333333333333333,0.75,0,0,0,0,0
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,,59730,10860,10860,38010,Audi,A3,2005,0,8344,2,1,45.69623061563296,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,0,0,1
